Titulo,Título_Verif,Categoria,Link,Ranking,Avaliação,Qtd_Avaliação,Relevância,Qualidade da Imagem,Quantidade de Imagens,Vídeos,FBA,Bullets,Data
Hub Usb 2.0 3 Portas + Leitor De Cartao Memoria SD Total 7portas,"(64, 'OK')",Hubs USB,https://www.amazon.com.br/Portas-Leitor-Cartao-Memoria-7portas/dp/B0DGGW72LL/ref=sr_1_1?dib=eyJ2IjoiMSJ9.an_1cY7E3LZNeVFRP4TQyz7_H4IYPNFkgGxEwby91AkKywokTOlb8c8SKWTmidMQySxXYjgIW_zxf9-tjXk7MPMZVY30GMRz8mmI4G4KkkrrgzByzMWpF5NtUA4A1GbvGj2xXOvznxaPCE_j3Fhst02QylxaUedF9OxRXxxUodmWq1v7F0_mvfeKst6WIkqLQAt0furxmrQjl4I1KCGhVsmIlF2fwcRAlVDBdXWXph0.xyzGpZQqjzPPzruWyiJkz3rESs-TLbTRHYcWmsH7v8c&dib_tag=se&m=A2ZYQFB9FA7MU3&marketplaceID=A2Q3Y263D00KWC&qid=1744891849&s=merchant-items&sr=1-1&xpid=tqkuqdh5H_SQg,863,"5.0, Ótima",1,40.6,"(nan, ""ERRO - 'float' object has no attribute 'lower'"")",Adicionar mais 5 imagens,Adicionar um video,Não,Adicionar mais 2 tópico(s),17/04/2025
Bermuda Masculina Térmica De Compressão Lupo I-Max,"(50, 'OK')",Shorts e Bermudas,https://www.amazon.com.br/Bermuda-Masculina-T%C3%A9rmica-Compress%C3%A3o-I-Max/dp/B0DGQTCMC5/ref=sr_1_2?dib=eyJ2IjoiMSJ9.an_1cY7E3LZNeVFRP4TQyz7_H4IYPNFkgGxEwby91AkKywokTOlb8c8SKWTmidMQySxXYjgIW_zxf9-tjXk7MPMZVY30GMRz8mmI4G4KkkrrgzByzMWpF5NtUA4A1GbvGj2xXOvznxaPCE_j3Fhst02QylxaUedF9OxRXxxUodmWq1v7F0_mvfeKst6WIkqLQAt0furxmrQjl4I1KCGhVsmIlF2fwcRAlVDBdXWXph0.xyzGpZQqjzPPzruWyiJkz3rESs-TLbTRHYcWmsH7v8c&dib_tag=se&m=A2ZYQFB9FA7MU3&marketplaceID=A2Q3Y263D00KWC&qid=1744891849&s=merchant-items&sr=1-2&ufe=app_do%3Aamzn1.fos.a492fd4a-f54d-4e8d-8c31-35e0a04ce61e&xpid=tqkuqdh5H_SQg,-,-,-,0.0,"('828x1013', 'Media')",Adicionar mais 5 imagens,Adicionar um video,Não,Adicionar mais 1 tópico(s),17/04/2025
Capa Protetora Defender Preta Para Galaxy Tab III 7 Otterbox (Preto),"(68, 'OK')","Capas, Bolsas e Estojos",https://www.amazon.com.br/Protetora-Defender-Preta-Galaxy-Otterbox/dp/B07QYV9KGQ/ref=sr_1_3?dib=eyJ2IjoiMSJ9.an_1cY7E3LZNeVFRP4TQyz7_H4IYPNFkgGxEwby91AkKywokTOlb8c8SKWTmidMQySxXYjgIW_zxf9-tjXk7MPMZVY30GMRz8mmI4G4KkkrrgzByzMWpF5NtUA4A1GbvGj2xXOvznxaPCE_j3Fhst02QylxaUedF9OxRXxxUodmWq1v7F0_mvfeKst6WIkqLQAt0furxmrQjl4I1KCGhVsmIlF2fwcRAlVDBdXWXph0.xyzGpZQqjzPPzruWyiJkz3rESs-TLbTRHYcWmsH7v8c&dib_tag=se&m=A2ZYQFB9FA7MU3&marketplaceID=A2Q3Y263D00KWC&qid=1744891849&s=merchant-items&sr=1-3&xpid=tqkuqdh5H_SQg,-,-,-,0.0,"('498x1148', 'Media')",Adicionar mais 4 imagens,Adicionar um video,Não,Adicionar mais 1 tópico(s),17/04/2025
Kit 2 Cuecas Boxer Mash Preto/Preto Listrado,"(44, 'OK')",Cuecas Samba-Canção,https://www.amazon.com.br/Cuecas-Boxer-Mash-Preto-Listrado/dp/B0DGXZJ3TZ/ref=sr_1_4?dib=eyJ2IjoiMSJ9.an_1cY7E3LZNeVFRP4TQyz7_H4IYPNFkgGxEwby91AkKywokTOlb8c8SKWTmidMQySxXYjgIW_zxf9-tjXk7MPMZVY30GMRz8mmI4G4KkkrrgzByzMWpF5NtUA4A1GbvGj2xXOvznxaPCE_j3Fhst02QylxaUedF9OxRXxxUodmWq1v7F0_mvfeKst6WIkqLQAt0furxmrQjl4I1KCGhVsmIlF2fwcRAlVDBdXWXph0.xyzGpZQqjzPPzruWyiJkz3rESs-TLbTRHYcWmsH7v8c&dib_tag=se&m=A2ZYQFB9FA7MU3&marketplaceID=A2Q3Y263D00KWC&qid=1744891849&s=merchant-items&sr=1-4&ufe=app_do%3Aamzn1.fos.6d798eae-cadf-45de-946a-f477d47705b9&xpid=tqkuqdh5H_SQg,-,-,-,0.0,"('833x1137', 'Media')",Adicionar mais 4 imagens,Adicionar um video,Não,OK,17/04/2025
"Cabo Displayport 4k Blindado Macho X Macho 1,8m 1.1 E 1.2 (preto)","(65, 'OK')",Cabos DisplayPort,https://www.amazon.com.br/Cabo-Displayport-Blindado-Macho-preto/dp/B0DKPHT6SJ/ref=sr_1_5?dib=eyJ2IjoiMSJ9.an_1cY7E3LZNeVFRP4TQyz7_H4IYPNFkgGxEwby91AkKywokTOlb8c8SKWTmidMQySxXYjgIW_zxf9-tjXk7MPMZVY30GMRz8mmI4G4KkkrrgzByzMWpF5NtUA4A1GbvGj2xXOvznxaPCE_j3Fhst02QylxaUedF9OxRXxxUodmWq1v7F0_mvfeKst6WIkqLQAt0furxmrQjl4I1KCGhVsmIlF2fwcRAlVDBdXWXph0.xyzGpZQqjzPPzruWyiJkz3rESs-TLbTRHYcWmsH7v8c&dib_tag=se&m=A2ZYQFB9FA7MU3&marketplaceID=A2Q3Y263D00KWC&qid=1744891849&s=merchant-items&sr=1-5&xpid=tqkuqdh5H_SQg,-,-,-,0.0,"('1200x1091', 'Media')",Adicionar mais 5 imagens,Adicionar um video,Não,OK,17/04/2025
Biquíni Aviação Estampado Sem Bojo Conforto e Estilo,"(52, 'OK')",Conjuntos,https://www.amazon.com.br/Biqu%C3%ADni-Avia%C3%A7%C3%A3o-Estampado-Conforto-Estilo/dp/B0DKQY7HWC/ref=sr_1_6?dib=eyJ2IjoiMSJ9.an_1cY7E3LZNeVFRP4TQyz7_H4IYPNFkgGxEwby91AkKywokTOlb8c8SKWTmidMQySxXYjgIW_zxf9-tjXk7MPMZVY30GMRz8mmI4G4KkkrrgzByzMWpF5NtUA4A1GbvGj2xXOvznxaPCE_j3Fhst02QylxaUedF9OxRXxxUodmWq1v7F0_mvfeKst6WIkqLQAt0furxmrQjl4I1KCGhVsmIlF2fwcRAlVDBdXWXph0.xyzGpZQqjzPPzruWyiJkz3rESs-TLbTRHYcWmsH7v8c&dib_tag=se&m=A2ZYQFB9FA7MU3&marketplaceID=A2Q3Y263D00KWC&qid=1744891849&s=merchant-items&sr=1-6&ufe=app_do%3Aamzn1.fos.6d798eae-cadf-45de-946a-f477d47705b9&xpid=tqkuqdh5H_SQg,-,-,-,0.0,"('797x1034', 'Media')",Adicionar mais 3 imagens,Adicionar um video,Não,Adicionar mais 1 tópico(s),17/04/2025
Carregador Viagem USB-A Preto 15W Sem Cabo (Preto),"(50, 'OK')",Carregadores de Parede,https://www.amazon.com.br/Carregador-Viagem-USB-Preto-Cabo/dp/B0DKPHB587/ref=sr_1_7?dib=eyJ2IjoiMSJ9.an_1cY7E3LZNeVFRP4TQyz7_H4IYPNFkgGxEwby91AkKywokTOlb8c8SKWTmidMQySxXYjgIW_zxf9-tjXk7MPMZVY30GMRz8mmI4G4KkkrrgzByzMWpF5NtUA4A1GbvGj2xXOvznxaPCE_j3Fhst02QylxaUedF9OxRXxxUodmWq1v7F0_mvfeKst6WIkqLQAt0furxmrQjl4I1KCGhVsmIlF2fwcRAlVDBdXWXph0.xyzGpZQqjzPPzruWyiJkz3rESs-TLbTRHYcWmsH7v8c&dib_tag=se&m=A2ZYQFB9FA7MU3&marketplaceID=A2Q3Y263D00KWC&qid=1744891849&s=merchant-items&sr=1-7&xpid=tqkuqdh5H_SQg,-,-,-,0.0,"('595x1185', 'Media')",Adicionar mais 5 imagens,Adicionar um video,Não,OK,17/04/2025
Shorts Jeans Stillage Confortável com Barras Dobradas Estilo Casual,"(67, 'OK')",Shorts e Bermudas,https://www.amazon.com.br/Shorts-Stillage-Confort%C3%A1vel-Barras-Dobradas/dp/B0DGXZDBPY/ref=sr_1_8?dib=eyJ2IjoiMSJ9.an_1cY7E3LZNeVFRP4TQyz7_H4IYPNFkgGxEwby91AkKywokTOlb8c8SKWTmidMQySxXYjgIW_zxf9-tjXk7MPMZVY30GMRz8mmI4G4KkkrrgzByzMWpF5NtUA4A1GbvGj2xXOvznxaPCE_j3Fhst02QylxaUedF9OxRXxxUodmWq1v7F0_mvfeKst6WIkqLQAt0furxmrQjl4I1KCGhVsmIlF2fwcRAlVDBdXWXph0.xyzGpZQqjzPPzruWyiJkz3rESs-TLbTRHYcWmsH7v8c&dib_tag=se&m=A2ZYQFB9FA7MU3&marketplaceID=A2Q3Y263D00KWC&qid=1744891849&s=merchant-items&sr=1-8&ufe=app_do%3Aamzn1.fos.6d798eae-cadf-45de-946a-f477d47705b9&xpid=tqkuqdh5H_SQg,-,-,-,0.0,"('1116x811', 'Media')",Adicionar mais 4 imagens,Adicionar um video,Não,OK,17/04/2025
Ring Light 6 Polegadas 14cm com Mini Tripe (Preto),"(50, 'OK')",Luzes de Selfie,https://www.amazon.com.br/Ring-Light-Polegadas-Tripe-Preto/dp/B0DKPV57Z8/ref=sr_1_9?dib=eyJ2IjoiMSJ9.an_1cY7E3LZNeVFRP4TQyz7_H4IYPNFkgGxEwby91AkKywokTOlb8c8SKWTmidMQySxXYjgIW_zxf9-tjXk7MPMZVY30GMRz8mmI4G4KkkrrgzByzMWpF5NtUA4A1GbvGj2xXOvznxaPCE_j3Fhst02QylxaUedF9OxRXxxUodmWq1v7F0_mvfeKst6WIkqLQAt0furxmrQjl4I1KCGhVsmIlF2fwcRAlVDBdXWXph0.xyzGpZQqjzPPzruWyiJkz3rESs-TLbTRHYcWmsH7v8c&dib_tag=se&m=A2ZYQFB9FA7MU3&marketplaceID=A2Q3Y263D00KWC&qid=1744891849&s=merchant-items&sr=1-9&xpid=tqkuqdh5H_SQg,-,-,-,0.0,"('1200x1133', 'OK')",Adicionar mais 5 imagens,Adicionar um video,Não,OK,17/04/2025
"Capa Protetora Kicktok para Galaxy S8 Plus, Samsung, Capa Protetora para Celular, Transparente","(94, 'OK')",Capas Laterais,https://www.amazon.com.br/Protetora-Kicktok-Samsung-Celular-Transparente/dp/B0777RX2H3/ref=sr_1_10?dib=eyJ2IjoiMSJ9.an_1cY7E3LZNeVFRP4TQyz7_H4IYPNFkgGxEwby91AkKywokTOlb8c8SKWTmidMQySxXYjgIW_zxf9-tjXk7MPMZVY30GMRz8mmI4G4KkkrrgzByzMWpF5NtUA4A1GbvGj2xXOvznxaPCE_j3Fhst02QylxaUedF9OxRXxxUodmWq1v7F0_mvfeKst6WIkqLQAt0furxmrQjl4I1KCGhVsmIlF2fwcRAlVDBdXWXph0.xyzGpZQqjzPPzruWyiJkz3rESs-TLbTRHYcWmsH7v8c&dib_tag=se&m=A2ZYQFB9FA7MU3&marketplaceID=A2Q3Y263D00KWC&qid=1744891849&s=merchant-items&sr=1-10&xpid=tqkuqdh5H_SQg,13146,"3.8, Ruim",7,34.6,"('681x1443', 'Media')",Adicionar mais 2 imagens,Adicionar um video,Não,Adicionar mais 1 tópico(s),17/04/2025
"Película Protetora de Vidro para Tela de Celular, para Motorola E4, Transparente","(80, 'OK')",Capas Laterais,https://www.amazon.com.br/Pel%C3%ADcula-Protetora-Motorola-Celular-Transparente/dp/B075DZL4X6/ref=sr_1_11?dib=eyJ2IjoiMSJ9.an_1cY7E3LZNeVFRP4TQyz7_H4IYPNFkgGxEwby91AkKywokTOlb8c8SKWTmidMQySxXYjgIW_zxf9-tjXk7MPMZVY30GMRz8mmI4G4KkkrrgzByzMWpF5NtUA4A1GbvGj2xXOvznxaPCE_j3Fhst02QylxaUedF9OxRXxxUodmWq1v7F0_mvfeKst6WIkqLQAt0furxmrQjl4I1KCGhVsmIlF2fwcRAlVDBdXWXph0.xyzGpZQqjzPPzruWyiJkz3rESs-TLbTRHYcWmsH7v8c&dib_tag=se&m=A2ZYQFB9FA7MU3&marketplaceID=A2Q3Y263D00KWC&qid=1744891849&s=merchant-items&sr=1-11&xpid=tqkuqdh5H_SQg,6667,"4.3, Boa",31,53.0,"('790x812', 'Ruim')",Adicionar mais 5 imagens,Adicionar um video,Não,Adicionar mais 1 tópico(s),17/04/2025
"Película Protetora de Vidro Moto E5, Motorola, Transparente","(59, 'OK')",Protetores de Tela,https://www.amazon.com.br/Pel%C3%ADcula-Protetora-Transparente-Motorola-Celular/dp/B07F6LKG2V/ref=sr_1_12?dib=eyJ2IjoiMSJ9.an_1cY7E3LZNeVFRP4TQyz7_H4IYPNFkgGxEwby91AkKywokTOlb8c8SKWTmidMQySxXYjgIW_zxf9-tjXk7MPMZVY30GMRz8mmI4G4KkkrrgzByzMWpF5NtUA4A1GbvGj2xXOvznxaPCE_j3Fhst02QylxaUedF9OxRXxxUodmWq1v7F0_mvfeKst6WIkqLQAt0furxmrQjl4I1KCGhVsmIlF2fwcRAlVDBdXWXph0.xyzGpZQqjzPPzruWyiJkz3rESs-TLbTRHYcWmsH7v8c&dib_tag=se&m=A2ZYQFB9FA7MU3&marketplaceID=A2Q3Y263D00KWC&qid=1744891849&s=merchant-items&sr=1-12&xpid=tqkuqdh5H_SQg,4976,"3.4, Ruim",20,39.2,"('724x1500', 'Media')",Adicionar mais 4 imagens,Adicionar um video,Não,Adicionar mais 1 tópico(s),17/04/2025
"Capa Protetora Cristal Case Transparente Moto E5, Motorola, Capa com Proteção Completa (Carcaça+Tela), Transparente","(115, 'OK')",Capas Laterais,https://www.amazon.com.br/Protetora-Transparente-Motorola-Prote%C3%A7%C3%A3o-Completa/dp/B07F7JXDVY/ref=sr_1_13?dib=eyJ2IjoiMSJ9.an_1cY7E3LZNeVFRP4TQyz7_H4IYPNFkgGxEwby91AkKywokTOlb8c8SKWTmidMQySxXYjgIW_zxf9-tjXk7MPMZVY30GMRz8mmI4G4KkkrrgzByzMWpF5NtUA4A1GbvGj2xXOvznxaPCE_j3Fhst02QylxaUedF9OxRXxxUodmWq1v7F0_mvfeKst6WIkqLQAt0furxmrQjl4I1KCGhVsmIlF2fwcRAlVDBdXWXph0.xyzGpZQqjzPPzruWyiJkz3rESs-TLbTRHYcWmsH7v8c&dib_tag=se&m=A2ZYQFB9FA7MU3&marketplaceID=A2Q3Y263D00KWC&qid=1744891849&s=merchant-items&sr=1-13&xpid=tqkuqdh5H_SQg,7524,"3.2, Ruim",33,45.4,"('697x1433', 'Media')",Adicionar mais 5 imagens,Adicionar um video,Não,Adicionar mais 1 tópico(s),17/04/2025
"Capa Protetora Cristal Bumper Transparente com Lateral Moto G7, Motorola, 4882.0, Preta","(87, 'OK')",Capas Laterais,https://www.amazon.com.br/Protetora-Cristal-Transparente-Motorola-4882-0/dp/B07NDB5ZD9/ref=sr_1_14?dib=eyJ2IjoiMSJ9.an_1cY7E3LZNeVFRP4TQyz7_H4IYPNFkgGxEwby91AkKywokTOlb8c8SKWTmidMQySxXYjgIW_zxf9-tjXk7MPMZVY30GMRz8mmI4G4KkkrrgzByzMWpF5NtUA4A1GbvGj2xXOvznxaPCE_j3Fhst02QylxaUedF9OxRXxxUodmWq1v7F0_mvfeKst6WIkqLQAt0furxmrQjl4I1KCGhVsmIlF2fwcRAlVDBdXWXph0.xyzGpZQqjzPPzruWyiJkz3rESs-TLbTRHYcWmsH7v8c&dib_tag=se&m=A2ZYQFB9FA7MU3&marketplaceID=A2Q3Y263D00KWC&qid=1744891849&s=merchant-items&sr=1-14&ufe=app_do%3Aamzn1.fos.6d798eae-cadf-45de-946a-f477d47705b9&xpid=tqkuqdh5H_SQg,22483,"5.0, Ótima",3,41.8,"('638x1500', 'Media')",Adicionar mais 4 imagens,Adicionar um video,Não,Adicionar mais 1 tópico(s),17/04/2025
Conj para Bar em Inox Stem 5 Pçs Prana Inox,"(43, 'OK')",Kits para Bar,https://www.amazon.com.br/CONJ-PARA-PRANA-Prana-000BS04008XXXNMS/dp/B07C1PYNZY/ref=sr_1_15?dib=eyJ2IjoiMSJ9.an_1cY7E3LZNeVFRP4TQyz7_H4IYPNFkgGxEwby91AkKywokTOlb8c8SKWTmidMQySxXYjgIW_zxf9-tjXk7MPMZVY30GMRz8mmI4G4KkkrrgzByzMWpF5NtUA4A1GbvGj2xXOvznxaPCE_j3Fhst02QylxaUedF9OxRXxxUodmWq1v7F0_mvfeKst6WIkqLQAt0furxmrQjl4I1KCGhVsmIlF2fwcRAlVDBdXWXph0.xyzGpZQqjzPPzruWyiJkz3rESs-TLbTRHYcWmsH7v8c&dib_tag=se&m=A2ZYQFB9FA7MU3&marketplaceID=A2Q3Y263D00KWC&qid=1744891849&s=merchant-items&sr=1-15&ufe=app_do%3Aamzn1.fos.6121c6c4-c969-43ae-92f7-cc248fc6181d&xpid=tqkuqdh5H_SQg,532,-,-,0.0,"('611x893', 'Ruim')",Adicionar mais 1 imagens,Adicionar um video,Não,Adicionar mais 1 tópico(s),17/04/2025
"Carregador Veicular Hightech, Energizer, EZ-DCA2CUWH3I, Branca","(62, 'OK')",Carregadores Veiculares,https://www.amazon.com.br/Carregador-Veicular-Original-Energizer-Sa%C3%ADdas/dp/B0182JTL9G/ref=sr_1_16?dib=eyJ2IjoiMSJ9.an_1cY7E3LZNeVFRP4TQyz7_H4IYPNFkgGxEwby91AkKywokTOlb8c8SKWTmidMQySxXYjgIW_zxf9-tjXk7MPMZVY30GMRz8mmI4G4KkkrrgzByzMWpF5NtUA4A1GbvGj2xXOvznxaPCE_j3Fhst02QylxaUedF9OxRXxxUodmWq1v7F0_mvfeKst6WIkqLQAt0furxmrQjl4I1KCGhVsmIlF2fwcRAlVDBdXWXph0.xyzGpZQqjzPPzruWyiJkz3rESs-TLbTRHYcWmsH7v8c&dib_tag=se&m=A2ZYQFB9FA7MU3&marketplaceID=A2Q3Y263D00KWC&qid=1744891849&s=merchant-items&sr=1-16&xpid=tqkuqdh5H_SQg,-,"4.5, Ótima",12,43.2,"('1160x1248', 'OK')",Adicionar mais 4 imagens,Adicionar um video,Não,Adicionar mais 2 tópico(s),17/04/2025
Moldura Dobravel Plastica Crismop Inox,"(38, 'OK')",Porta-Retratos de Mesa e Parede,https://www.amazon.com.br/Moldura-Dobravel-Plastica-Crismop-Inox/dp/B07GFW29QF/ref=sr_1_17?dib=eyJ2IjoiMSJ9.nJUGtznzO1_mp8QWZsUFXw.HAGC4Jy5KfIrmQLSJRa2tFfbjVfXS14L05fwjak5YJg&dib_tag=se&m=A2ZYQFB9FA7MU3&marketplaceID=A2Q3Y263D00KWC&qid=1744892216&s=merchant-items&sr=1-17&xpid=tqkuqdh5H_SQg,2719,"5.0, Ótima",2,41.2,"('410x362', 'Ruim')",Adicionar mais 5 imagens,Adicionar um video,Não,Adicionar mais 1 tópico(s),17/04/2025
